t,hares[x],lynx[y]
1899.968603,304838.7097,42338.70968
1900.973308,471370.9677,62096.77419
1901.978012,703385.8381,98790.32258
1902.982717,770564.5161,358467.7419
1904.018818,364112.9032,589919.3548
1904.992126,200403.2258,420564.5161
1905.996831,183647.1032,194758.0645
1907.001535,214516.129,132661.2903
1907.974843,219340.0043,90322.58065
1909.010944,253154.3316,93145.16129
1909.984252,279435.4839,76209.67742
1911.020354,405318.8046,81854.83871
1911.993661,572983.871,132661.2903
1912.998366,764919.3548,200403.2258
1914.003071,518033.229,460080.6452
1914.976378,194758.0645,516532.2581
1915.994353,112903.2258,298240.1014
1916.998651,79032.25806,162982.7921
1917.982026,149596.7742,100989.8587
1918.986324,162356.6009,100989.8587
1919.990622,253780.5229,87839.84249
